time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-02 00:00:00+00:00,0,0,92,4
2021-09-03 00:00:00+00:00,16,11,72,7
2021-09-04 00:00:00+00:00,2,2,85,6
2021-09-05 00:00:00+00:00,7,7,19,6
2021-09-06 00:00:00+00:00,8,6,32,6
2021-09-07 00:00:00+00:00,18,10,23,7
2021-09-08 00:00:00+00:00,6,4,22,5
2021-09-09 00:00:00+00:00,1,1,25,3
2021-09-10 00:00:00+00:00,11,8,91,11
2021-09-11 00:00:00+00:00,2,1,28,5
2021-09-12 00:00:00+00:00,1,1,2,2
2021-09-13 00:00:00+00:00,0,0,8,6
2021-09-14 00:00:00+00:00,2,2,7,5
2021-09-15 00:00:00+00:00,7,4,56,5
2021-09-16 00:00:00+00:00,3,2,15,10
2021-09-17 00:00:00+00:00,5,4,40,9
2021-09-18 00:00:00+00:00,0,0,1,1
2021-09-19 00:00:00+00:00,9,6,21,6
2021-09-20 00:00:00+00:00,9,4,20,5
2021-09-21 00:00:00+00:00,3,3,20,6
2021-09-22 00:00:00+00:00,7,6,50,8
2021-09-23 00:00:00+00:00,5,5,11,5
2021-09-24 00:00:00+00:00,0,0,41,4
2021-09-25 00:00:00+00:00,25,12,78,3
2021-09-26 00:00:00+00:00,0,0,58,11
2021-09-27 00:00:00+00:00,0,0,115,18
